UniProtID	GeneSymbol	P value	FDR	Log2 FC	FDR2
O75312	ZPR1	0.00072108	0.001376366	0.266957319	2.861266064
O75368	SH3BGRL	0.025340202	0.028622133	-0.476751875	1.543298005
O75369	FLNB	9.30E-05	0.000229655	-1.615419464	3.638924095
O75380	NDUFS6	0.010261592	0.013303974	-0.136466474	1.876018613
O75381	PEX14	0.002091194	0.003441965	0.63038047	2.46319355
O75382	TRIM3	0.004115022	0.006104508	-1.666056569	2.214349333
O75396	SEC22B	0.029051514	0.03191749	0.059459454	1.495971269
O75436	VPS26A	0.003524487	0.005361118	-0.489766041	2.270744634
O75475	PSIP1	0.000239003	0.000525908	-0.696442071	3.279090223
O75506	HSBP1	0.001892313	0.003161685	0.151346079	2.500081401
O75533	SF3B1	0.000210592	0.000469735	0.239462734	3.328147079
O75569	PRKRA	0.010718767	0.013783533	0.897035568	1.86063945
O75607	NPM3	0.003679111	0.005567218	0.396767312	2.254361772
O75608	LYPLA1	5.55E-06	1.87E-05	0.559855538	4.728158393
O75610	LEFTY1	7.60E-15	1.32E-13	-1.738171085	12.87942607
O75643	SNRNP200	0.000117665	0.000283275	0.279076544	3.547791752
O75688	PPM1B	0.00077421	0.001460666	-0.700424593	2.83544908
O75689	ADAP1	0.000192741	0.000435566	-2.360353771	3.360946028
O75691	UTP20	0.049550432	0.049710997	-1.609879463	1.303547527
O75717	WDHD1	0.032805596	0.035386583	-1.29857565	1.451161372
O75718	CRTAP	1.88E-16	4.06E-15	1.038518616	14.39147397
O75746	SLC25A12	0.00115932	0.002073516	-0.551077232	2.683292609
O75764	TCEA3	0.008220127	0.011002816	-0.816505005	1.95849615
O75792	RNASEH2A	0.000480065	0.000960751	0.553458148	3.017389155
O75828	CBR3	1.18E-10	1.02E-09	-1.164556423	8.991399828
O75843	AP1G2	3.23E-07	1.43E-06	-1.591466433	5.844663963
O75844	ZMPSTE24	0.016373863	0.019809879	0.1070085	1.703118177
O75874	IDH1	0.003527182	0.005361118	-0.405303823	2.270744634
O75937	DNAJC8	0.023216756	0.026592333	-0.248042355	1.575243559
O75947	ATP5H	2.82E-08	1.58E-07	-0.713674806	6.801342913
O75964	ATP5L	9.23E-14	1.34E-12	-1.368306903	11.8728952
O76011	KRT34	0.001887844	0.00315592	-0.295026947	2.500874014
O76021	RSL1D1	1.03E-12	1.25E-11	1.227469256	10.90308999
O76071	CIAO1	0.018098206	0.021575682	0.297251561	1.666035467
O76095	JTB	0.037742119	0.039809058	0.201668783	1.400018099
O94832	MYO1D	0.014735935	0.018118529	-0.67228994	1.741877065
O94855	SEC24D	0.019122183	0.022630841	-0.354991847	1.645299307
O94915	FRYL	0.044385627	0.045608331	-0.71940134	1.34095582
O94925	GLS	0.049365533	0.049589776	0.293534441	1.304607853
O95059	RPP14	0.046983575	0.047645315	0.08821795	1.321979797
O95071	UBR5	0.039632143	0.041509173	-0.511596191	1.381855919
O95139	NDUFB6	0.001778153	0.003003361	-0.391119594	2.522392463
O95154	AKR7A3	0.000121651	0.000291963	-0.936959373	3.534672183
O95155	UBE4B	0.039484201	0.041368219	-3.473738289	1.383333176
O95168	NDUFB4	2.03E-19	7.39E-18	-0.961476766	17.13135556
O95169	NDUFB8	7.94E-18	2.18E-16	-0.904451661	15.66154351
O95182	NDUFA7	2.52E-05	7.14E-05	-0.354192329	4.146301788
O95183	VAMP5	5.03E-05	0.000132911	-0.436220548	3.876439074
O95210	STBD1	9.63E-10	7.05E-09	-0.953264841	8.151810883
O95219	SNX4	0.025150466	0.028472866	-0.37534441	1.545568816
O95340	PAPSS2	2.03E-12	2.35E-11	-1.596324401	10.62893214
O95373	IPO7	2.52E-11	2.40E-10	0.65853471	9.619788758
O95379	TNFAIP8	0.000100274	0.000246193	0.588204474	3.6087243
O95396	MOCS3	0.009331128	0.012277591	0.346309636	1.910886838
O95425	SVIL	0.002931411	0.004576727	-2.387957308	2.339444992
O95433	AHSA1	0.000153537	0.000356601	0.251560594	3.447817443
O95445	APOM	0.002238243	0.003656915	-0.735787175	2.436885134
O95456	PSMG1	0.000247337	0.00054117	1.006795066	3.266666287
O95479	H6PD	0.020059036	0.023568415	-0.055497496	1.627669623
O95551	TDP2	4.64E-11	4.26E-10	-1.330312111	9.370590401
O95674	CDS2	9.29E-05	0.000229461	-0.550220557	3.639291118
O95793	STAU1	1.85E-14	3.03E-13	1.153437807	12.51855737
O95825	CRYZL1	0.000595493	0.001167376	-0.883946169	2.93278924
O95834	EML2	1.66E-11	1.64E-10	-0.647548667	9.785156152
O95861	BPNT1	0.000796999	0.001498183	-0.473156016	2.824435135
O95865	DDAH2	7.76E-06	2.54E-05	-0.405293733	4.595166283
O95881	TXNDC12	0.000207363	0.000464542	0.411285431	3.332975015
O95926	SYF2	0.044782647	0.0458489	0.493797186	1.338671079
O95994	AGR2	4.60E-06	1.57E-05	-0.615867579	4.804100348
P00167	CYB5A	3.27E-13	4.37E-12	-0.796960523	11.35951856
P00338	LDHA	1.06E-09	7.63E-09	0.319683375	8.117475462
P00352	ALDH1A1	2.62E-25	2.53E-23	-1.953114164	22.59687948
P00390	GSR	1.25E-14	2.08E-13	-1.257617846	12.68193667
P00441	SOD1	0.001391907	0.002441554	-0.340566267	2.612333666
P00488	F13A1	4.32E-22	2.23E-20	-1.500313209	19.65169514
P00491	PNP	0.004568238	0.006693453	0.312155799	2.174349782
P00492	HPRT1	0.024444966	0.027827522	0.138839886	1.555525465
P00568	AK1	0.00160919	0.002758611	-0.525844932	2.559309536
P00734	F2	0.00069862	0.001337617	-0.306268021	2.87366822
P00738	HP	2.69E-06	9.74E-06	-1.204276874	5.011441043
P00747	PLG	0.035884298	0.038047187	-0.113144784	1.419677447
P01023	A2M	2.92E-13	3.91E-12	-1.152631644	11.40782324
P01024	C3	1.57E-05	4.75E-05	-1.103051287	4.32330639
P01275	GCG	3.49E-06	1.23E-05	-0.942235243	4.910094889
P01282	VIP	0.006254881	0.008766461	-0.431787429	2.057175695
P01833	PIGR	5.18E-08	2.77E-07	-0.697252547	6.557520231
P01859	IGHG2	2.77E-09	1.83E-08	-0.828907727	7.73754891
P02008	HBZ	2.39E-05	6.87E-05	0.604681711	4.163043263
P02452	COL1A1	2.70E-05	7.64E-05	-0.857296699	4.116906641
P02461	COL3A1	0.005689977	0.008080812	-0.695172867	2.092544997
P02533	KRT14	9.27E-05	0.000229461	-1.090823261	3.639291118
P02545	LMNA	1.49E-05	4.52E-05	-0.537433986	4.344861565
P02652	APOA2	3.02E-10	2.44E-09	-1.037844959	8.612610174
P02743	APCS	1.32E-17	3.49E-16	-1.287368051	15.45717457
P02750	LRG1	1.11E-08	6.66E-08	-1.348885001	7.176525771
P02760	AMBP	4.79E-14	7.34E-13	-1.031241702	12.13430394
P02763	ORM1	2.62E-10	2.15E-09	-0.795981115	8.66756154
P02765	AHSG	1.28E-07	6.29E-07	-0.87701742	6.201349355
P02768	ALB	2.90E-16	6.08E-15	-1.368774116	14.21609642
P02774	GC	7.71E-09	4.73E-08	-0.921205802	7.325138859
P02786	TFRC	1.48E-16	3.25E-15	1.285192141	14.48811664
P02787	TF	8.57E-17	1.97E-15	-1.363594524	14.70553377
P02790	HPX	6.55E-15	1.17E-13	-1.002449467	12.93181414
P02792	FTL	4.15E-08	2.23E-07	1.104289103	6.651695137
P04040	CAT	5.50E-08	2.91E-07	-0.733974814	6.536107011
P04066	FUCA1	3.25E-33	1.44E-30	-1.924091273	29.84163751
P04080	CSTB	0.002418251	0.003905532	0.29730345	2.408319799
P04196	HRG	0.000110019	0.000266943	-0.485431357	3.573581463
P04217	A1BG	2.40E-11	2.31E-10	-0.992070952	9.63638802
P04275	VWF	0.000421469	0.000856572	-0.572134148	3.067236126
P04350	TUBB4A	0.001013345	0.001843312	0.39365921	2.73440115
P04406	GAPDH	0.002290937	0.003727136	-0.281093345	2.42862476
P04433	IGKV3-11	1.99E-07	9.30E-07	-1.280638212	6.031517051
P04626	ERBB2	0.000455534	0.0009158	-1.78673084	3.038199361
P04792	HSPB1	0.047273044	0.047876135	-1.011599848	1.319880917
P04843	RPN1	0.008990077	0.011869202	0.170273329	1.925578479
P04899	GNAI2	5.63E-05	0.000146714	-0.43466837	3.833528442
P05023	ATP1A1	0.000233761	0.000516209	-0.558933823	3.287174428
P05091	ALDH2	0.036212895	0.038329957	-0.323104541	1.416461668
P05109	S100A8	3.72E-26	4.79E-24	2.193449304	23.31966449
P05161	ISG15	2.33E-06	8.55E-06	-0.049021049	5.068033885
P05164	MPO	1.14E-09	8.18E-09	0.802701637	8.087246696
P05165	PCCA	5.77E-13	7.41E-12	-1.333203331	11.13018179
P05198	EIF2S1	2.34E-10	1.92E-09	0.446789569	8.716698771
P05204	HMGN2	6.22E-17	1.46E-15	1.410023411	14.83564714
P05413	FABP3	0.007845417	0.010551439	-1.267722934	1.976688307
P05556	ITGB1	0.007874361	0.010576582	-0.774028535	1.975654659
P05771	PRKCB	0.007809552	0.010521485	-0.033218287	1.97792296
P06396	GSN	1.84E-07	8.65E-07	-0.938187688	6.062983893
P06576	ATP5B	2.21E-19	7.95E-18	-0.898961173	17.09963287
P06702	S100A9	8.03E-25	6.54E-23	1.781504108	22.18442225
P06727	APOA4	1.02E-15	2.04E-14	-1.751465265	13.69036983
P06730	EIF4E	0.000249489	0.000544724	0.292483479	3.26382349
P06731	CEACAM5	2.28E-18	6.65E-17	1.733882907	16.17717835
P06753	TPM3	0.016202051	0.019609675	-1.32608912	1.707529604
P07099	EPHX1	6.78E-23	4.37E-21	-1.116032002	20.35951856
P07148	FABP1	3.83E-14	6.15E-13	-1.375551553	12.21112488
P07196	NEFL	0.000432268	0.000872677	1.0979756	3.05914647
P07306	ASGR1	0.00348347	0.00531272	-1.575788309	2.274683072
P07327	ADH1A	0.022377459	0.025774037	-0.259577021	1.588817552
P07437	TUBB	1.96E-05	5.76E-05	0.309055159	4.239577517
P07585	DCN	2.11E-29	4.36E-27	-1.612833678	26.36051351
P07737	PFN1	0.000962233	0.001759641	-0.40696162	2.754575927
P07814	EPRS	0.000106376	0.000258509	0.206971964	3.587524332
P07919	UQCRH	0.041003153	0.042642177	-0.483848543	1.370160631
P07996	THBS1	1.93E-13	2.64E-12	1.096715953	11.57839607
P08240	SRPRA	5.67E-05	0.000147589	-0.558304492	3.83094601
P08243	ASNS	0.012712907	0.01598017	-0.128075965	1.796418605
P08246	ELANE	7.92E-21	3.56E-19	1.674209954	18.44855
P08294	SOD3	2.70E-17	6.59E-16	-1.152872607	15.18111459
P08574	CYC1	5.93E-06	1.98E-05	-0.458981929	4.70333481
P08579	SNRPB2	1.93E-06	7.21E-06	0.309812804	5.142064735
P08603	CFH	0.00268931	0.004265422	-0.981776905	2.370037995
P08670	VIM	9.75E-05	0.000239844	-1.134027674	3.620071141
P08697	SERPINF2	0.009538196	0.012486366	-0.633444278	1.903563939
P08727	KRT19	0.004649525	0.006793266	-0.487195591	2.16792138
P08729	KRT7	0.043070259	0.044493	-0.710279741	1.35170831
P08754	GNAI3	0.001380007	0.002422053	-0.464995469	2.615816358
P08779	KRT16	0.002513794	0.004030402	-0.371823824	2.394651634
P09012	SNRPA	0.008290995	0.011068961	-0.352991412	1.955893143
P09104	ENO2	0.045245045	0.046184853	0.159991977	1.335500434
P09132	SRP19	0.000806644	0.001509898	0.36905112	2.82105239
P09211	GSTP1	6.16E-08	3.21E-07	0.404995106	6.493494968
P09417	QDPR	0.004646849	0.006792561	-0.374115006	2.167966453
P09496	CLTA	8.96E-10	6.62E-09	0.425427421	8.179142011
P09525	ANXA4	0.003125783	0.004831465	0.336147694	2.315921162
P09601	HMOX1	0.000442022	0.000891531	-0.307334955	3.049863551
P09619	PDGFRB	5.58E-08	2.94E-07	-1.821775177	6.53165267
P09661	SNRPA1	0.003293012	0.005059635	-0.047789997	2.295880812
P09936	UCHL1	1.14E-16	2.57E-15	-1.134624372	14.59006688
P0C0L5	C4B	0.026336343	0.029563929	-0.657031387	1.529237849
P0C0S5	H2AFZ	0.019764724	0.023293332	-0.548654748	1.632768383
P0C7P4	UQCRFS1P1	1.70E-11	1.67E-10	-0.717861294	9.777283529
P0DOX2		2.16E-07	9.99E-07	-2.200838529	6.000434512
P0DOX6		0.007670849	0.01036167	-0.621772553	1.984570243
P0DOX7		2.89E-12	3.30E-11	-0.973623321	10.48148606
P10176	COX8A	0.003308947	0.005081597	-0.801279592	2.29399978
P10606	COX5B	0.007840493	0.010551439	-0.556779284	1.976688307
P10909	CLU	0.013513606	0.016843046	-0.550544448	1.773579365
P11021	HSPA5	0.021093177	0.024513693	-0.02058891	1.610591257
P11142	HSPA8	0.004541797	0.006657861	0.030679655	2.176665276
P11166	SLC2A1	0.034414437	0.036791124	0.587214115	1.434256944
P11177	PDHB	0.002973867	0.004638334	-0.2485223	2.333637982
P11215	ITGAM	0.014665052	0.018038539	0.304104954	1.74379864
P11216	PYGB	2.97E-06	1.06E-05	-0.573343595	4.974694135
P11387	TOP1	7.88E-15	1.36E-13	0.971911992	12.86646109
P11413	G6PD	4.27E-05	0.000114929	0.330406086	3.939570372
P11441	UBL4A	0.00083304	0.001552734	0.208594054	2.808902937
P11717	IGF2R	0.000171771	0.000392765	0.376609385	3.40586722
P11766	ADH5	1.27E-17	3.38E-16	-0.985895958	15.4710833
P12004	PCNA	9.52E-08	4.78E-07	0.582936111	6.320572103
P12035	KRT3	9.42E-06	3.03E-05	-1.643428053	4.518557371
P12109	COL6A1	4.31E-15	7.71E-14	-0.96538973	13.11294562
P12110	COL6A2	2.61E-17	6.46E-16	-1.043152343	15.18976748
P12270	TPR	0.028040702	0.031027167	-0.808831736	1.508257877
P12277	CKB	4.55E-25	4.00E-23	-1.692543387	22.39794001
P12429	ANXA3	5.75E-26	6.45E-24	1.262308424	23.19044029
P12532	CKMT1A	1.91E-15	3.58E-14	-1.014006913	13.44611697
P13073	COX4I1	6.93E-15	1.23E-13	-0.788492327	12.91009489
P13489	RNH1	0.003193233	0.004925363	-0.340972738	2.307561756
P13498	CYBA	8.77E-08	4.43E-07	0.678856138	6.353596274
P13521	SCG2	2.19E-07	1.01E-06	0.71949872	5.995678626
P13639	EEF2	0.004147791	0.006147229	0.115583365	2.211320608
P13646	KRT13	1.80E-08	1.04E-07	-0.857823605	6.982966661
P13674	P4HA1	5.28E-18	1.49E-16	0.307738403	15.82681373
P13688	CEACAM1	1.48E-05	4.51E-05	-0.491703331	4.345823458
P13716	ALAD	1.35E-05	4.18E-05	-0.57190786	4.378823718
P13797	PLS3	0.01508155	0.018462823	0.098064634	1.733701894
P14384	CPM	3.71E-10	2.98E-09	-1.354458219	8.525783736
P14543	NID1	1.15E-10	9.94E-10	-1.100671949	9.002613616
P14550	AKR1A1	0.00010113	0.000247901	-0.438243108	3.605721721
P14618	PKM	0.004770774	0.006944202	0.190680348	2.158377654
P14780	MMP9	1.63E-07	7.82E-07	0.360170751	6.106793247
P14854	COX6B1	4.41E-06	1.52E-05	-0.654451372	4.818156412
P14866	HNRNPL	1.38E-06	5.32E-06	0.326377807	5.274088368
P14868	DARS	6.88E-09	4.26E-08	0.565787756	7.370590401
P14927	UQCRB	2.30E-07	1.05E-06	-0.532875322	5.978810701
P15170	GSPT1	0.000335083	0.000700958	-0.374464899	3.154308003
P15374	UCHL3	0.000503882	0.001004518	0.423031761	2.998042277
P15531	NME1	8.30E-09	5.06E-08	0.523384603	7.295849483
P15907	ST6GAL1	0.003780225	0.005689634	0.163764001	2.24491567
P16152	CBR1	1.13E-06	4.46E-06	-0.771245766	5.350665141
P16220	CREB1	0.004937939	0.007157238	0.392829323	2.145254541
P16401	HIST1H1B	2.21E-09	1.51E-08	0.625944261	7.821023053
P16402	HIST1H1D	0.000146983	0.000343183	0.454869382	3.464474234
P16403	HIST1H1C	0.000217826	0.000484474	0.179102353	3.314729525
P16444	DPEP1	1.33E-13	1.86E-12	0.99750244	11.73048706
P16930	FAH	4.83E-06	1.65E-05	-0.730514082	4.782516056
P17029	ZKSCAN1	0.000301803	0.000641306	-1.416500452	3.192934697
P17096	HMGA1	9.68E-10	7.07E-09	1.023378984	8.150580586
P17174	GOT1	9.88E-17	2.25E-15	-0.792730309	14.64781748
P17516	AKR1C4	0.001681133	0.002867651	-1.350074594	2.542473704
P17568	NDUFB7	2.20E-11	2.13E-10	-0.848516946	9.671620397
P17600	SYN1	3.47E-05	9.56E-05	-1.028550498	4.019542108
P17858	PFKL	0.003691196	0.005582776	-0.361711298	2.253149797
P17900	GM2A	7.28E-05	0.000184474	-0.549922563	3.734064835
P17980	PSMC3	0.027584847	0.030643232	0.094722483	1.513665431
P17987	TCP1	7.71E-05	0.000194003	0.262164029	3.712191554
P18077	RPL35A	0.002627722	0.004178443	0.040904955	2.378985518
P18124	RPL7	0.000416704	0.000848202	0.196423328	3.071500708
P18583	SON	0.041469339	0.043098044	-0.260474508	1.36554244
P18859	ATP5J	3.84E-09	2.47E-08	-0.7084823	7.607303047
P19075	TSPAN8	0.005748776	0.008156834	-0.356149833	2.088478376
P19387	POLR2C	0.000321822	0.000675499	-0.837478927	3.17037529
P19623	SRM	9.79E-11	8.58E-10	1.031530936	9.066512712
P19652	ORM2	8.02E-14	1.18E-12	-1.056803693	11.92811799
P20042	EIF2S2	3.98E-06	1.38E-05	0.287833599	4.860120914
P20160	AZU1	1.40E-16	3.09E-15	1.623506142	14.51004152
P20290	BTF3	0.034693787	0.037051384	0.10613744	1.431195565
P20618	PSMB1	0.04476016	0.045841038	0.102105361	1.338745557
P20645	M6PR	0.00029636	0.000631472	0.399568576	3.199645902
P20674	COX5A	0.000116164	0.000280225	-0.622005274	3.552493122
P20700	LMNB1	0.042449141	0.043968732	0.063945412	1.356856059
P21266	GSTM3	4.71E-19	1.62E-17	-1.441308003	16.79048499
P21333	FLNA	0.001836922	0.003084885	-0.871672395	2.510761021
P21359	NF1	0.000248916	0.00054424	-1.333942162	3.264209542
P21397	MAOA	1.99E-29	4.36E-27	-1.441119819	26.36051351
P21399	ACO1	0.039240503	0.041182576	-0.317620157	1.385286491
P21796	VDAC1	1.64E-10	1.37E-09	0.655592357	8.863279433
P21912	SDHB	5.13E-10	4.02E-09	-0.710453019	8.395773947
P21964	COMT	0.000210749	0.000469747	0.279418529	3.328135985
P21980	TGM2	0.001408209	0.002464565	-0.333305419	2.608259723
P22087	FBL	4.25E-07	1.83E-06	0.425700857	5.73754891
P22102	GART	0.00024377	0.000535256	0.171195826	3.271438456
P22105	TNXB	1.34E-26	1.80E-24	-1.554644579	23.74472749
P22223	CDH3	0.000133028	0.000316082	-1.553291107	3.500200235
P22307	SCP2	0.040359583	0.042128546	-0.391265176	1.37542353
P22626	HNRNPA2B1	0.019199879	0.022705434	-1.083201283	1.643870192
P22695	UQCRC2	2.69E-09	1.80E-08	-0.688548036	7.744727495
P23141	CES1	7.21E-07	2.98E-06	-0.635359199	5.525783736
P23142	FBLN1	2.93E-11	2.77E-10	0.586527037	9.557520231
P23219	PTGS1	5.75E-09	3.59E-08	-1.601031171	7.444905551
P23229	ITGA6	0.000235733	0.00051945	-0.454210102	3.284456249
P23246	SFPQ	4.10E-05	0.000110791	0.167390671	3.955495518
P23284	PPIB	0.012188066	0.015414319	0.000496191	1.812075658
P23396	RPS3	0.002912999	0.004559477	0.132871079	2.341084971
P23497	SP100	0.023887182	0.027279496	0.274231622	1.564163658
P23526	AHCY	1.72E-09	1.21E-08	0.609231329	7.91721463
P23610	F8A1	0.001662526	0.002841318	0.410590799	2.546480157
P23634	ATP2B4	4.01E-07	1.73E-06	-1.327200386	5.761953897
P23786	CPT2	3.94E-06	1.37E-05	-1.439795358	4.863279433
P23946	CMA1	3.82E-28	6.95E-26	-2.464968081	25.1580152
P24158	PRTN3	9.25E-13	1.14E-11	2.288577292	10.94309515
P24311	COX7B	7.53E-07	3.09E-06	-1.11076167	5.510041521
P24539	ATP5F1	2.42E-16	5.16E-15	-0.99228045	14.2873503
P24557	TBXAS1	0.004185291	0.006193911	-1.343078965	2.208035039
P24666	ACP1	0.027064903	0.030195654	0.120882101	1.52005556
P24752	ACAT1	1.59E-14	2.62E-13	-1.098011778	12.58169871
P24821	TNC	4.84E-12	5.35E-11	-0.03187944	10.27164622
P24844	MYL9	0.001009088	0.001837727	-1.401247	2.735719004
P25311	AZGP1	6.14E-11	5.53E-10	-1.073888209	9.257274869
P25685	DNAJB1	1.61E-05	4.85E-05	0.340852835	4.314258261
P25705	ATP5A1	2.71E-16	5.75E-15	-0.8972543	14.24033216
P25774	CTSS	1.63E-12	1.93E-11	-0.987582531	10.71444269
P25786	PSMA1	0.04484607	0.045871515	0.055815906	1.338456916
P25815	S100P	2.00E-20	8.45E-19	2.01783319	18.07314329
P26038	MSN	0.032137919	0.034765547	-0.296880866	1.458850933
P26196	DDX6	0.014335302	0.017703269	0.231784962	1.751946532
P26368	U2AF2	1.87E-05	5.53E-05	0.114749451	4.257274869
P26447	S100A4	1.96E-06	7.31E-06	-0.452973539	5.136082623
P26583	HMGB2	2.79E-05	7.84E-05	0.3667191	4.105683937
P26599	PTBP1	2.41E-05	6.90E-05	0.309722488	4.161150909
P26639	TARS	2.74E-06	9.88E-06	0.479617297	5.005243055
P26641	EEF1G	7.52E-07	3.09E-06	0.255575806	5.510041521
P26885	FKBP2	1.77E-05	5.26E-05	-0.662905925	4.279014256
P27169	PON1	0.011590342	0.01476088	-0.858466705	1.83088775
P27695	APEX1	0.021980324	0.025384222	0.078893891	1.595436143
P27707	DCK	0.002997503	0.004670492	0.342702254	2.330637367
P27708	CAD	4.22E-08	2.27E-07	0.544941973	6.643974143
P27986	PIK3R1	0.000142953	0.000334783	-1.158301471	3.475236603
P28062	PSMB8	0.010687864	0.013752963	0.126223646	1.861603725
P28070	PSMB4	0.000306208	0.000649329	0.22060015	3.1875352
P28161	GSTM2	1.63E-33	8.42E-31	-1.775101773	30.07468791
P28288	ABCD3	0.014071614	0.0174054	-0.943484699	1.759315992
P28289	TMOD1	0.002209533	0.003615599	-0.640440335	2.441819742
P28482	MAPK1	0.005254047	0.007551778	-0.18962616	2.121950785
P28799	GRN	3.50E-08	1.92E-07	-0.960856758	6.716698771
P28838	LAP3	0.001837044	0.003084885	0.14207622	2.510761021
P29144	TPP2	0.044449937	0.04562898	-0.425362329	1.340759239
P29350	PTPN6	0.008285982	0.011067619	-0.48454159	1.9559458
P29353	SHC1	3.84E-08	2.08E-07	-1.72180134	6.681936665
P29372	MPG	2.88E-08	1.60E-07	0.771898655	6.795880017
P29401	TKT	6.36E-06	2.10E-05	0.301102174	4.677780705
P29466	CASP1	9.27E-06	2.99E-05	-0.823039274	4.524328812
P29590	PML	6.10E-10	4.69E-09	-1.404649853	8.328827157
P29692	EEF1D	2.95E-09	1.94E-08	0.396304574	7.71219827
P29966	MARCKS	6.62E-05	0.000170036	-0.71063504	3.76945912
P30041	PRDX6	1.58E-18	4.79E-17	-0.877660415	16.31966449
P30044	PRDX5	0.043344227	0.044731243	-0.167831647	1.349389033
P30046	DDT	2.08E-05	6.06E-05	-0.525677591	4.217527376
P30048	PRDX3	0.000942659	0.00172793	-0.53519764	2.762473855
P30049	ATP5D	3.62E-08	1.97E-07	-0.670607334	6.705533774
P30050	RPL12	0.016716598	0.020161506	-0.040935465	1.695477031
P30084	ECHS1	0.005425074	0.00773654	-0.352798518	2.111453225
P30154	PPP2R1B	0.000565441	0.001116458	-1.785736936	2.95215761
P30260	CDC27	0.000123934	0.000296522	0.478076761	3.527943079
P30419	NMT1	4.18E-09	2.66E-08	0.157045871	7.575118363
P30519	HMOX2	0.000463499	0.000930002	0.036758441	3.031516117
P30740	SERPINB1	0.000462139	0.000927874	0.394730206	3.032510994
P31689	DNAJA1	2.58E-09	1.73E-08	0.454363814	7.761953897
P31930	UQCRC1	1.29E-09	9.20E-09	-0.73751358	8.036212173
P31939	ATIC	0.003265851	0.005022888	0.178035356	2.299046506
P31946	YWHAB	0.049740114	0.049851165	0.097372907	1.302324688
P31949	S100A11	6.38E-20	2.47E-18	1.070588515	17.60730305
P32119	PRDX2	1.93E-11	1.87E-10	-0.89497849	9.728158393
P32121	ARRB2	0.034772013	0.037122122	-1.310754104	1.430367206
P32189	GK	2.94E-07	1.31E-06	0.708305599	5.882728704
P32321	DCTD	0.000859803	0.001596851	0.259324918	2.796735605
P32456	GBP2	0.001098659	0.001981041	-0.678027441	2.703106536
P33176	KIF5B	0.034834753	0.037176061	0.03732453	1.429736628
P33240	CSTF2	7.48E-06	2.45E-05	0.499609091	4.610833916
P33316	DUT	0.027490724	0.030560604	0.249735004	1.514838067
P34896	SHMT1	4.38E-14	6.79E-13	-1.103134938	12.16813023
P34931	HSPA1L	2.79E-05	7.84E-05	-1.124167362	4.105683937
P34932	HSPA4	0.031849551	0.034538077	0.043946347	1.461701847
P35249	RFC4	0.017838235	0.021306781	0.241403645	1.671482158
P35251	RFC1	0.036023845	0.038168609	0.265836812	1.418293667
P35270	SPR	0.022966745	0.026377141	-0.225406982	1.578772279
P35442	THBS2	0.00182595	0.00307236	-1.02594996	2.512527898
P35542	SAA4	2.72E-07	1.22E-06	-1.337481647	5.913640169
P35555	FBN1	1.53E-07	7.43E-07	-0.768376362	6.129011186
P35556	FBN2	0.000423684	0.000859021	-1.399345086	3.065996219
P35637	FUS	9.36E-05	0.000230834	0.433345763	3.636700223
P35659	DEK	6.24E-10	4.78E-09	0.794198645	8.320572103
P35900	KRT20	6.31E-14	9.39E-13	-1.378201223	12.02733441
P35908	KRT2	0.017039417	0.020494963	0.045896096	1.688352861
P35998	PSMC2	3.13E-06	1.12E-05	0.346832363	4.950781977
P36405	ARL3	0.003759071	0.005663301	0.343780929	2.246930355
P36543	ATP6V1E1	0.001374761	0.002415584	-0.752268219	2.616977856
P36551	CPOX	5.59E-08	2.94E-07	0.674015191	6.53165267
P36578	RPL4	0.039431828	0.041327964	0.132171266	1.383755989
P36871	PGM1	3.97E-13	5.21E-12	-1.025478145	11.28316228
P37108	SRP14	6.94E-05	0.000177358	0.366789776	3.751149217
P37235	HPCAL1	0.000190401	0.000430907	-0.494190178	3.365616451
P37802	TAGLN2	1.74E-12	2.03E-11	0.599082251	10.69250396
P37837	TALDO1	0.011135589	0.014236506	0.139914077	1.846596585
P38117	ETFB	1.25E-06	4.90E-06	-0.674862542	5.30980392
P38159	RBMX	2.05E-07	9.54E-07	0.426269696	6.020451625
P38432	COIL	0.007364172	0.010004158	0.581745709	1.999819458
P39023	RPL3	0.000808725	0.001512877	0.186043742	2.82019638
P39687	ANP32A	0.005145721	0.007420192	0.148149918	2.129584857
P39900	MMP12	0.000412441	0.000840077	1.214615039	3.075680905
P40121	CAPG	0.000422199	0.000856572	0.489784436	3.067236126
P40123	CAP2	0.00178772	0.003015617	-0.877694485	2.520623817
P40261	NNMT	2.31E-07	1.06E-06	-0.955603255	5.974694135
P40306	PSMB10	0.025522577	0.02879661	-0.291041319	1.540658635
P40429	RPL13A	0.003901478	0.005838074	0.204084637	2.233730404
P40763	STAT3	0.034227598	0.036604022	-0.756631029	1.436471192
P40937	RFC5	0.021020149	0.024447176	0.107382224	1.611771301
P41091	EIF2S3	1.58E-07	7.62E-07	0.214100918	6.118045029
P41218	MNDA	3.47E-07	1.52E-06	1.168151228	5.818156412
P41226	UBA7	0.033800143	0.036259613	-0.494678175	1.440576835
P41227	NAA10	6.19E-05	0.000159553	0.396155684	3.797095026
P41252	IARS	0.000316356	0.000666737	0.274389132	3.176045443
P42025	ACTR1B	0.03222961	0.034843782	-0.387404226	1.457874712
P42126	ECI1	1.08E-13	1.54E-12	-0.849078557	11.81247928
P42224	STAT1	5.65E-09	3.55E-08	0.779559874	7.449771647
P42765	ACAA2	0.00393007	0.005873256	-0.473985791	2.231121069
